customer_id,first_name,last_name,email,street,city,state,country
0,Amy,Jones,ashleypratt@example.net,062 Green Cliffs,Amandaview,Kentucky,Falkland Islands (Malvinas)
1,James,Anderson,erictaylor@example.org,912 Mccoy Keys Suite 068,South Sandy,South Dakota,Norway
2,Matthew,Anderson,calvinmitchell@example.com,51090 Jaime Islands Suite 571,West Marissatown,Missouri,Saint Lucia
3,Sue,Wade,gmay@example.net,97408 Donald Pike,Rachelstad,Michigan,Bulgaria
4,Kathleen,Pratt,lthompson@example.net,28408 Mary Street,Lake Patriciamouth,South Dakota,Norway
5,Jeff,Peterson,gregoryanderson@example.com,229 Melanie Causeway,Melissaton,Mississippi,Monaco
6,Justin,Villa,scottdaniel@example.net,272 Peterson Orchard Apt. 039,Lake Jessicaburgh,North Dakota,Reunion
7,Carmen,Bowman,sydneybennett@example.com,037 Delgado Locks,Ronaldville,West Virginia,Bahrain
8,Christian,Parker,rileyryan@example.org,2719 Miller Green,Julieshire,Virginia,Sierra Leone
9,Robert,Bowman,shaunsmith@example.org,45968 Price Street,Martinezshire,Indiana,Papua New Guinea
10,Andrea,Garrett,carterronald@example.com,4188 Morales Isle,Wilkersonhaven,Indiana,Christmas Island
11,Frances,Adams,robertocastaneda@example.org,3849 Keller Circles Suite 972,Port Matthew,Mississippi,Slovakia (Slovak Republic)
12,Sarah,Kennedy,clarkjeffrey@example.net,91212 Timothy Prairie Apt. 372,Evansshire,South Carolina,Nepal
13,April,Roy,yjohnson@example.org,684 Thomas Path Suite 842,Brandontown,Maryland,Palau
14,Heather,Barr,melissawyatt@example.org,2276 Cindy Square,South Tonya,New Hampshire,Christmas Island
15,Gilbert,Jackson,debra56@example.com,655 Kristen Ville Apt. 993,Careychester,Ohio,Finland
16,Katelyn,Brown,julie38@example.org,723 Mario Flats Suite 428,Benjaminport,Louisiana,Thailand
17,Justin,Brooks,eaguilar@example.org,67844 Jill Spurs,New Paul,North Carolina,Philippines
18,Katherine,Schultz,daleharrison@example.net,31525 Molina Forge,Martineztown,South Dakota,Micronesia
19,Christopher,Durham,amy53@example.com,07282 Gaines Crossing,North Jamesfort,Utah,Honduras
20,Larry,Summers,nicholascaldwell@example.net,8900 Bryan Bypass,Frazierbury,Texas,El Salvador
21,Jesse,Johnson,thompsonsteven@example.org,52499 Murray Mission,Port Christineburgh,Florida,Costa Rica
22,Melissa,Robinson,markbarrett@example.com,96721 Barbara Turnpike Suite 520,West Cory,Minnesota,Poland
23,David,Brennan,donaldfranklin@example.net,5591 Christina Camp,North Kennethland,Alaska,Mexico
24,Jesse,Hall,torresryan@example.com,57083 Christina Station Suite 803,Reginachester,Iowa,Burkina Faso
25,Jeffrey,Dougherty,ecarter@example.org,078 Matthew Circles,East Sarah,Georgia,Czech Republic
26,Ellen,Gomez,bradreed@example.net,195 English Mission Apt. 970,South Johnville,Utah,Solomon Islands
27,Shane,Riddle,david73@example.com,599 George Manor Suite 545,East Alfred,New Jersey,Afghanistan
28,Emily,Smith,peckkathleen@example.net,0790 Cindy Valleys Suite 607,Katherineborough,Oregon,Cambodia
29,Brandon,Nichols,james10@example.com,1365 Blackwell Trace Suite 021,Stephanieview,Utah,Cayman Islands
30,Steven,Campbell,brownruben@example.org,646 Thompson Walks,Lake Scottport,South Carolina,Niger
31,Lisa,Johnson,bcardenas@example.org,6824 Cynthia Brooks Apt. 955,Lake Jose,Kentucky,Bangladesh
32,Gregory,Brooks,lesliemelendez@example.net,000 Katelyn Views,Brooksport,Florida,Djibouti
33,Laura,Russell,akim@example.com,25543 Lauren Village,East Deborah,Colorado,Bangladesh
34,Randall,Fowler,jasminemassey@example.com,08928 Jennifer Mountains Suite 927,Clarkton,Minnesota,Yemen
35,Shannon,Garcia,kennethfernandez@example.net,5666 Lee Dale Apt. 922,New Donnaland,Iowa,Estonia
36,Alejandra,Palmer,davidroberts@example.org,494 Calhoun Islands Suite 115,Mendozamouth,Tennessee,Liechtenstein
